                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                   1.21,                 1.0518,                 1.4056,                 1.4546,                 1.2959,                 1.4075,                0.65015,                0.60509,                 0.6184,                0.43472,                 1.3455,                 1.3666,                 1.5802,                 1.4651,                 1.5293,                 1.5232,             0.00096125,             0.00096125,             0.00096125
                     24,                 1.2002,                  1.096,                 1.4168,                 1.4468,                  1.341,                 1.4109,                  0.736,                0.47283,                0.58276,                0.39485,                  1.359,                 1.3221,                 1.6045,                 1.5051,                 1.4411,                  1.548,              0.0009475,              0.0009475,              0.0009475
                     25,                 1.1765,                 1.0246,                 1.3635,                 1.4275,                  1.272,                  1.371,                0.73496,                0.57436,                 0.6322,                0.44313,                 1.3274,                 1.4639,                 1.5577,                  1.507,                 1.6272,                 1.5322,             0.00093375,             0.00093375,             0.00093375
                     26,                 1.1755,                0.98851,                 1.3825,                 1.4124,                 1.1954,                 1.3811,                0.63956,                 0.5691,                0.59015,                0.40348,                 1.3377,                 1.3316,                 1.5668,                  1.503,                 1.4088,                 1.5288,                0.00092,                0.00092,                0.00092
                     27,                 1.1696,                 1.0696,                 1.3831,                 1.3967,                 1.2949,                 1.3887,                0.72307,                 0.5612,                0.62697,                0.43155,                 1.3345,                 1.2475,                 1.5905,                 1.5187,                 1.4048,                 1.5504,             0.00090625,             0.00090625,             0.00090625
                     28,                 1.1783,                 1.0061,                  1.373,                 1.4143,                 1.2112,                 1.3701,                0.77176,                0.60792,                0.65069,                0.45023,                 1.3097,                 1.1788,                 1.5651,                 1.4442,                 1.3174,                 1.5186,              0.0008925,              0.0008925,              0.0008925
                     29,                 1.1444,                0.99124,                 1.3586,                 1.3468,                 1.1991,                 1.3608,                 0.8036,                0.54084,                0.63924,                0.45219,                 1.2903,                 1.2138,                 1.5615,                 1.4448,                 1.3451,                 1.4933,             0.00087875,             0.00087875,             0.00087875
                     30,                 1.1244,                0.97583,                 1.3537,                 1.3696,                 1.2067,                 1.3603,                0.74469,                0.52374,                0.61852,                0.42781,                 1.3306,                 1.3411,                 1.5856,                  1.482,                  1.499,                 1.5335,               0.000865,               0.000865,               0.000865
                     31,                 1.1011,                0.91869,                 1.3057,                 1.3517,                 1.1167,                 1.3136,                0.70691,                0.53443,                0.60256,                0.41449,                 1.3419,                 1.2351,                 1.5573,                  1.532,                  1.446,                 1.5234,             0.00085125,             0.00085125,             0.00085125
                     32,                 1.1181,                0.94655,                 1.3338,                 1.3749,                 1.1663,                 1.3412,                0.74277,                0.51976,                0.61259,                0.41806,                 1.2919,                 1.2318,                 1.5178,                 1.4654,                 1.3876,                 1.5091,              0.0008375,              0.0008375,              0.0008375
